index,note,midi,frequency_hz,attack,loop,release
1,C4,60,261.626,01_C4_attack.wav,01_C4_loop.wav,01_C4_release.wav
2,C#4,61,277.183,02_C#4_attack.wav,02_C#4_loop.wav,02_C#4_release.wav
3,D4,62,293.665,03_D4_attack.wav,03_D4_loop.wav,03_D4_release.wav
4,D#4,63,311.127,04_D#4_attack.wav,04_D#4_loop.wav,04_D#4_release.wav
5,E4,64,329.628,05_E4_attack.wav,05_E4_loop.wav,05_E4_release.wav
6,F4,65,349.228,06_F4_attack.wav,06_F4_loop.wav,06_F4_release.wav
7,F#4,66,369.994,07_F#4_attack.wav,07_F#4_loop.wav,07_F#4_release.wav
8,G4,67,391.995,08_G4_attack.wav,08_G4_loop.wav,08_G4_release.wav
9,G#4,68,415.305,09_G#4_attack.wav,09_G#4_loop.wav,09_G#4_release.wav
10,A4,69,440.0,10_A4_attack.wav,10_A4_loop.wav,10_A4_release.wav
11,A#4,70,466.164,11_A#4_attack.wav,11_A#4_loop.wav,11_A#4_release.wav
12,B4,71,493.883,12_B4_attack.wav,12_B4_loop.wav,12_B4_release.wav
13,C5,72,523.251,13_C5_attack.wav,13_C5_loop.wav,13_C5_release.wav
14,C#5,73,554.365,14_C#5_attack.wav,14_C#5_loop.wav,14_C#5_release.wav
15,D5,74,587.33,15_D5_attack.wav,15_D5_loop.wav,15_D5_release.wav
16,D#5,75,622.254,16_D#5_attack.wav,16_D#5_loop.wav,16_D#5_release.wav
17,E5,76,659.255,17_E5_attack.wav,17_E5_loop.wav,17_E5_release.wav
18,F5,77,698.456,18_F5_attack.wav,18_F5_loop.wav,18_F5_release.wav
19,F#5,78,739.989,19_F#5_attack.wav,19_F#5_loop.wav,19_F#5_release.wav
20,G5,79,783.991,20_G5_attack.wav,20_G5_loop.wav,20_G5_release.wav
21,G#5,80,830.609,21_G#5_attack.wav,21_G#5_loop.wav,21_G#5_release.wav
22,A5,81,880.0,22_A5_attack.wav,22_A5_loop.wav,22_A5_release.wav
23,A#5,82,932.328,23_A#5_attack.wav,23_A#5_loop.wav,23_A#5_release.wav
24,B5,83,987.767,24_B5_attack.wav,24_B5_loop.wav,24_B5_release.wav
25,C6,84,1046.502,25_C6_attack.wav,25_C6_loop.wav,25_C6_release.wav
26,C#6,85,1108.731,26_C#6_attack.wav,26_C#6_loop.wav,26_C#6_release.wav
27,D6,86,1174.659,27_D6_attack.wav,27_D6_loop.wav,27_D6_release.wav
28,D#6,87,1244.508,28_D#6_attack.wav,28_D#6_loop.wav,28_D#6_release.wav
29,E6,88,1318.51,29_E6_attack.wav,29_E6_loop.wav,29_E6_release.wav
30,F6,89,1396.913,30_F6_attack.wav,30_F6_loop.wav,30_F6_release.wav
31,F#6,90,1479.978,31_F#6_attack.wav,31_F#6_loop.wav,31_F#6_release.wav
32,G6,91,1567.982,32_G6_attack.wav,32_G6_loop.wav,32_G6_release.wav
